id,claim,source_url,source_date,confidence,status,script_safe_wording
B9,"Cameroon Pidgin English (Kamtok) is a regional lingua franca in Cameroon alongside about 280 indigenous languages; speaker numbers are hard to determine.",https://apics-online.info/surveys/18,2013 (accessed 2026-09-04),high,safe,"In the South-West, people move between English and Cameroon Pidgin, known to linguists as Kamtok."
B10,"World Bank: 72 per cent of Cameroon's population had electricity access in 2024; rural access 42.7 per cent (2024; 26 per cent in 2023, a data jump to check).",https://api.worldbank.org/v2/country/CM/indicator/EG.ELC.ACCS.RU.ZS?format=json&mrv=4,2026-07-13 (data year 2024),high,safe,"Fewer than half of rural Cameroonians have electricity at home, so charging a phone is planned, not assumed."
B11,"Cameroon, October 2025: 29.0 million mobile connections (96.4 per cent of population), 87.5 per cent broadband-capable; 12.6 million internet users (41.9 per cent). National figures only.",https://datareportal.com/reports/digital-2026-cameroon,2025-11-08,medium,safe,"Most Cameroonians have a mobile connection, but fewer than half use the internet. (National figure; no South-West figure exists in our sources.)"
B12,"The Anglophone regions were cut off from the internet from 17 January to about 20 April 2017 (94 days) and again from October 2017 to March 2018.",https://www.accessnow.org/press-release/access-now-files-supporting-intervention-in-renewed-legal-challenge-to-internet-shutdown-in-cameroon/,undated (accessed 2026-09-04),high,safe,"In 2017 the two English-speaking regions lost the internet for three months. Any tool built there must work when the network does not."
B13,"September 2025: black pod hit Muyuka, Mbonge and Kumba after heavy rain since July; the South-West agriculture delegate advised farmers to intensify spraying; authorities cited late pruning, poor clearing and irregular fungicide application.",https://www.trtafrika.com/english/article/1395a6411a10,2025-09-16,high,safe,"When the rains are heavy, black pod spreads fast, and the regional agriculture office tells farmers to keep up sanitation and spraying on schedule."
B14,"Black pod in Cameroon is caused by Phytophthora megakarya; without control losses can reach 70-80 per cent; primary inoculum lives in the soil and spreads by rain splash; control combines cultural methods, fungicides and resistant material.",https://www.icco.org/wp-content/uploads/2019/07/T3.80.ON-THE-USE-OF-MATHEMATICAL-MODELLING-TO-STUDY-THE-IMPACT-OF-PHYTOSANITATION-ON-COCOA-BLACK-POD-DISEASE-CAUSED-BY-PHYTOPHTHORA-MEGAKARYA-1.pdf,2017-11-13,high,safe,"Black pod is caused by a water mould called Phytophthora; the species found in Cameroon and its neighbours, Phytophthora megakarya, is the most damaging one, and wet, humid weather wakes it up in the soil while rain splash carries it from pod to pod. (No loss percentages: the opened sources give none plainly.)"
B15,"Standard management: remove and destroy infected pods, harvest ripe pods regularly, prune and clear for airflow, apply copper-based (or metalaxyl plus copper) fungicide at intervals in the rainy season; typical recommendation 6-8 applications a year.",https://plantpathologyquarantine.org/pdf/PPQ_12_1_2-1.pdf,2022-02-10,high,safe,"Sanitation comes first: harvest ripe pods regularly, take off and dispose of diseased and mummified pods and husks, prune and weed so light and air reach the canopy, then apply the fungicide the cooperative's agent schedules; research in Cameroon shows the cultural steps alone are not enough against this species, and less susceptible planting material helps over time. (No spray counts, intervals or product names.)"
B16,Cameroon's Law 2003/003 of 21 April 2003 requires phytosanitary products to be registered or hold a provisional sales authorisation before distribution.,https://faolex.fao.org/docs/pdf/cmr50036.pdf,2003-04-21,high,safe,"Under Cameroon's phytosanitary protection law, only registered products, or ones holding a provisional sales authorisation, may be imported, distributed, packaged or used, so a product a chatbot names may not be legal or available here."
B17,"The FAO/WHO International Code of Conduct on Pesticide Management is a voluntary framework for everyone involved in producing, regulating and managing pesticides.",https://www.fao.org/pest-and-pesticide-management/pesticide-risk-reduction/code-conduct/en/,undated (accessed 2026-09-04),high,safe,"International guidance says pesticide use follows the label, the local registration and proper protection: three things a generic chatbot answer does not know."
B18,"OCHA: in 2026, 1.1 million people in the North-West and South-West need humanitarian assistance; displacement continued in early 2026 including parts of the South-West.",https://www.unocha.org/publications/report/cameroon/cameroon-north-west-and-south-west-situation-report-no85-1-january-31-march-2026,2026 Q1,medium,recheck,"The South-West has lived through years of insecurity. (Page returned 403; confirm the figure before any use.)"
B19,"Reports link Anglophone-crisis lockdowns (ghost towns) and black pod to a fall in South-West cocoa output in 2025; 'ghost towns cut sales by 40 per cent', 'nearly one million people', '65-70 per cent infection'.",https://www.businessincameroon.com/agriculture/1709-15028-cameroon-cocoa-challenges-deepen-as-disease-insecurity-and-corporate-exit-collide,2025-09-17,low,blocked,"Do not use these numbers: page not opened, attribution unknown."
B20,"MINADER had about 1,651 extension staff in 2009.",https://www.academia.edu/86751503/Farmer_to_farmer_extension_in_Cameroon_a_survey_of_extension_organizations,2009,low,blocked,"Do not state an agent-to-farmer ratio."
B21,"Buea is the capital of the South-West Region, on the slopes of Mount Cameroon; original Bakweri settlement.",https://en.wikipedia.org/wiki/Buea,accessed 2026-09-04,medium,safe,"Buea is the regional capital; Kumba is the cocoa town."
B22,Pronunciations: Phytophthora fy-TOF-thor-uh; Kumba KOOM-bah; Buea often heard as BOY-ah; Kamtok KAM-tok.,https://www.dictionary.com/browse/phytophthora,accessed 2026-09-04,medium,safe,Narration says 'fy-TOF-ther-uh' (Dictionary.com: fahy-TOF-ther-uh). Kumba KOOM-bah and Kamtok KAM-tok unchanged. Buea and all personal names stay unconfirmed until Hippolyte's Cameroonian reviewer checks them.
B23,"Fictional character and cooperative names for the South-West (e.g. Ebot, Ayuk, Enow, Njume, Tabe; 'X Area Farmers Cooperative Society') follow common regional patterns; no source verifies individual names.",https://www.researchgate.net/publication/254297709_Bakossi_names_naming_culture_and_identity,unknown,low,recheck,"All names are fictional and must be confirmed by a reviewer from the region before the script gate."
